Car	0	3.08712	1.57008	0	2.40756	20.7791	0	0.11535	69	
Car	0	0.455466	1.59442	0	4.06676	18.3415	0	0.218194	68	
Car	0	3.37996	1.34556	0	3.91423	-10.2285	0	-2.77611	-49	
Car	0	0.870698	1.25431	0	11.8861	-7.88568	0	-2.15656	8	
Car	0	0.11483	0.96559	0	10.5702	-5.63536	0	-2.0606	6	
Car	0	0.20185	1.17059	0	8.52327	-3.2924	0	-1.93942	6	
Car	0	0.747861	1.67843	0	12.4887	-0.645434	0	-1.62243	5	
Car	0	0.433132	1.58155	0	5.21545	0.912903	0	1.39751	5	
Car	0	3.00662	1.51728	0	5.37585	3.47433	0	0.997038	4	
Car	0	0.121085	0.625667	0	9.67365	3.66703	0	1.20846	4	
