Car	0	0.239729	1.55329	0	9.98837	-12.9708	0	-2.48537	-23	
Car	0	0.203334	1.419	0	9.32672	-9.98195	0	-2.39012	-24	
Car	0	0.220546	1.40422	0	8.78049	-7.47077	0	-2.27578	-24	
Car	0	0.246769	1.14953	0	13.0532	-6.44312	0	-2.02931	-25	
Car	0	0.342498	1.61222	0	7.11205	-2.21229	0	-1.87237	-24	
Car	0	1.32388	1.16233	0	7.33292	0.131938	0	1.55281	-25	
Car	0	0.226939	0.50944	0	12.6268	-1.49513	0	-1.68866	-25	
Car	0	1.88963	1.51624	0	12.0455	2.17184	0	1.39241	-25	
Car	0	1.03825	1.78712	0	2.75764	8.44177	0	0.315738	51	
Car	0	1.38993	1.53405	0	1.14238	10.0152	0	0.113574	49	
